Label,comment
U0001F60D,بهترین بازی دنیاااااا
U0001F44D,"حتما بخرید 
من برای روز مادر هدیه دادم به مادرم خیلی خوبه"
U0001F44D,کفش خوبی هستش فقط مارک نایک تو عکس نیستش ولی در روی کفش وجود داره و کفه زیر آن کمی سفت و جنسش خوب نیست .
U0001F914,علیه فقط یه کم کنده و زیاد داغ می کنه
U0001F4AE,رایحه خوب و قیمت مناسب عالی
U0001F44D,به نظر من دارای کیفیت خوبیه فقط سرعتش پایینه که قابل چشم پوشیه
U0001F4AE,عالیه واقعا آمرکایی تکه صداش خونه رو می ترکونه شارژ رو هم که عالی نگه می داره وزنش یه ذره سنگینه اما نسبت به صداش می ارزه
U0001F4AE,برای کار در خانه عالی نسبت به قیمتش خوبه
U0001F4AE,با توجه به سیستمی که داره قیمتش خیلی خوبه  الان همین سیستم تو سامسونگ 3 برابر این قیمت داره              عالی عالیه تو خریدش شک نکنید
U0001F4AE,خیلی راضی بودم خیلی عالی
U0001F44D,"دوستان عزیز
به علت استفاده 5 ساله از لاستیک فابریک کارخونه(یوکوهاما سی درایو) که آخر کاری به صدا انداخته بود خودرو و یه صدای وووووو تو ماشین همیشه بود با سرعت 90 تا 110 تا تصمیم گرفتم هم آج نداشت و پله کرده کرده بود
من این لاستیک روی زیر مزدا 3 انداختم یعنی وقتی رانندگی میکنید حس میکنید تو یه ماشین بهتر و نرم تر و فرمون پذیرتر نشستید 
عیب لاستیک های خوب که عمرشون کمه تو این یه مورد خاص نیست و این لاستیک طول عمر بسسیار زیادی داره 100هزار کیلومتر
و تو سایت های معتبر هم قدرت چسبندگی در خشکی و خیسی بالای 80درصد هست که عدد بسیار عالیه"
U0001F44D,از وقتی سس تولید می شود تا زمانی که وارد کشور شود و از گمرک ترخیص شود و به تهران و انبارهای دیجی کالا برسد زمان زیادی می گذرد. اما محصول ایرانی تازه خریداری شده حتما تازه تر است.
U0001F60D,"من عاشق شکلات هستم و  تقریبا میشه گفت هر نوع شکلات خارجی در ایران تولید میشه رو تست کردم برای اولین بار که این محصول رو همسرم خرید واقعا سوپرایز شدم و خوشحال از اینکه هموطنای خودمون اینقدر در زمینه ی تولید شکلات پیشرفت کردن و توی ایران که تولید شکلات تقریبا عمر طولانی نداره میشه محصولاتی با این کیفیت پیدا کرد وقتی محصول رو خوردم طعم های قهوه و سوهان در یک کلمه بینظیر بود اما بادام زمینی رو دوست نداشتم نعنا و دارک هم عالی بود فندق رو قبلا تست کرده بودم  و بسیار دوست داشتم ،جرقه ای هم بد نبود.
توصیه میکنم حتما یه بار تست کنید اماقیمتش یکم بالاس"
U0001F614,"بنظر من کلا عطرهای این برند با وجود ماندگاری و خوشبویی ارزش خرید ندارن من که از خرید خودم پشیمون شدم
ماندگاری بسیار خوبی داره.. حتی چهارپنج روز می مونه اما چه فایده که اصلا پخش بو نداره و فقط کسی ک در دو سانتی متری شما قرار بگیره متوجه عطر خاص شما میشه!!!"
U0001F60D,من طرفدار منچستر یونایتدم و به طرفدارای این تیم پیشنهاد میکنم از این ماگا در طرح های مختلف لومانا رو بخرید
U0001F44D,"این گوشی از همه لحاظ از گوشی های مشابه ش برتره ... حافظه داخلی بیشتر از آنر8 لایت هواوی، تراکم پیکسل و رزولوشن بالاتر از Y7 هواوی، در مقایسه با Q6 الجی هم  داشتن باتری با ظرفیت بیشتر  و دوربین جلوی بهتر و  همچنین داشتن فینگر پرس 
اینها همه  مقایسه ای بود که با سایر برندها انجام دادم ولی این گوشی حتی از j7 pro  خود سامسونگ هم امکاناتش بیشتره (بجز باتری) ولی عجیبه که قیمت اون بالاتره!!  تنها ایرادی که میتونم به این گوشی بگیرم ظاهر نچندان دلچسبشه که اونم یه چیز سلیقه ایه شاید بعضیا ظاهر اینو بیشتر از گوشیای هم رده ش بپسندن"
U0001F44D,"سلام
من این روغن موتور رو از پیشنهاد ویژه دیجی کالا خریدم و تو سمند EF7 دوگانه ریختم. موقع استفاده در ماشین عملکرد راضی کننده ای داشت.
در حال حاضر حدود 3500 کیلومتر از زمان تعویض روغن باهاش کار کردم و از نظر عملکرد موتور در دور های بالا یا کارکرد بصورت درجا مورد منفی ازش ندیدم. به نظر میرسه تا این حد از کارکرد حدود 200cc از حجم روغن کم شده باشه که با توجه به روغنهای ایرانی دیگه که قبلا ریختم و سبک رانندگی من (عموما دور موتورهای بالا) رضایت بخش باشه. چون آخرین باری که روغن موتور دیگه ای ریخته بودم تا 5000 کیلومتر حدود 900cc به روغن ماشین اضافه کردم تا در حد نرمال باقی بمونه.
در کل به نظر خوبه، ولی میتونه بهترم باشه
از نظر تولید صوت، حدود 3-4 دسی بل نسبت به انواع داخلی صداش کمتره (با موبایل اندازه گیری کردم)"
U0001F60D,من طرفدار منچستر یونایتدم و از ماگ لومانا با طرح ارم یونایتد برای خودم خریدم و دوستمم طرفدار اینتر و یکیم با طرح اینتر برای دوستم سفارش دادم بهتون پیشنهاد میکنم بخرید موقع بازی تیم محبوبتون نوشیدن تو ماگ با طرح تیمتون حال میده .
U0001F44E,در خد اسباب بازی
U0001F44D,برای کارکرد معمولی کیفیت واقعا قابل قبولی داره و ب اندازه کافی روی کاغذ نرم است
U0001F44D,"من ابتدا خیلی مردد بودم بعد از خرید و استفاده به جرات میگم عالیه 
من جای شکستگی وسط دو ابرو داشتم که با استفاده از این دستگاه خیلی بهتر شده و خیلی خوب جواب میده فقط بگم باید ابتدا دوستتون رو بشورید با صابون بعد انجام بدید"
U0001F44D,کارآمد و مفید
U0001F60D,من دستم اگزما داره و خشکی شدید پوست دارم همش همرام کرم بود هر چی میزدم بازم دستم خشک بود ولی الان وقتی استفاده اش میکنم تا طولانی مدت اثرش باقی میمونه
U0001F914,خیلی خوبع فقط بدیش اینه تک رنگه
U0001F914,کاش وای فای داشت
U0001F611,از دست به راحتی سر می خورد
U0001F914,"ماندگاری بو اصلا نداره
اسپری بگیری بهتره"
U0001F44D,خیلی خوشگله و بانمکه.دوختش هم‌مناسب و خوبه. فقط فضای داخلش کمه. اما درکل قیمت مناسبی داره و خوشگله.
U0001F44D,درحد و قیمت خودش عالیه.فقط کمی صدای فن بلنده.ازطرفی همین دوحالته بودن قدرت فن یک مزیت خوبه.سه جای پورت جلو داره.جای دودسته که با قرارگرفتن روی ان دسته هاهم شارڗ میشن.دستگاه هم بدون مشکل روی اون وایمیسته.فقط جنسگیره هاینگه دارنده عالی نیستند.فقط ننباید زیاد با دستگاه ور رفت وگرنه ثابت روی پایه باشه و دایما باز و مجدد سرجایشنزارید عمری پایه است براتون
